date,regime,portfolio_value,cash,open_positions
2020-09-17,Narrow Bull,95929358.8708052,66240881.87080521,8
2020-09-18,Narrow Bull,95910703.8708052,66240881.87080521,8
2020-09-21,Recovery,95484805.8708052,66240881.87080521,8
2020-09-22,Recovery,95037828.87520781,61451506.875207804,10
2020-09-23,Recovery,95088288.60319483,64000386.603194825,12
2020-09-24,Bear,93467300.50319482,66345031.503194824,11
2020-09-25,Bear,93750627.50319482,66345031.503194824,11
2020-09-28,Bear,93887535.50319482,66345031.503194824,11
2020-09-29,Bear,94132112.50319482,66345031.503194824,11
2020-10-05,Narrow Bull,94488336.50319482,66345031.503194824,11
2020-10-06,Narrow Bull,94229379.50319482,66345031.503194824,11
2020-10-07,Narrow Bull,94404856.50319482,66345031.503194824,11
2020-10-08,Narrow Bull,94389501.50319482,66345031.503194824,11
2020-10-12,Broad Bull,95293353.50319482,66345031.503194824,11
2020-10-13,Broad Bull,95375685.50319482,66345031.503194824,11
2020-10-14,Broad Bull,95247689.50319482,66345031.503194824,11
2020-10-15,Recovery,95436198.0746234,63706569.0746234,12
2020-10-16,Recovery,95149106.0746234,63706569.0746234,12
2020-10-19,Recovery,95169378.0746234,63706569.0746234,12
2020-10-20,Recovery,95298848.0746234,63706569.0746234,12
2020-10-21,Narrow Bull,96032807.0746234,63706569.0746234,12
2020-10-22,Recovery,95330258.0746234,63706569.0746234,12
2020-10-23,Recovery,95234236.0746234,63706569.0746234,12
2020-10-26,Bear,94260953.0746234,63706569.0746234,12
2020-10-27,Bear,93922285.99462341,71428692.99462341,10
2020-10-28,Bear,93943070.99462341,71428692.99462341,10
2020-10-29,Bear,93458757.02544159,77175572.02544159,8
2020-10-30,Bear,93383817.02544159,77175572.02544159,8
2020-11-02,Bear,93585882.02544159,77175572.02544159,8
2020-11-03,Narrow Bull,93598787.35544159,68887403.35544159,12
2020-11-04,Narrow Bull,93530898.35544159,68887403.35544159,12
2020-11-05,Narrow Bull,93570709.35544159,68887403.35544159,12
2020-11-06,Narrow Bull,93371588.35544159,68887403.35544159,12
2020-11-09,Broad Bull,93812708.15907794,70848930.15907794,11
2020-11-10,Broad Bull,94006482.15907794,70848930.15907794,11
2020-11-11,Broad Bull,94066454.15907794,70848930.15907794,11
2020-11-12,Broad Bull,93868369.15907794,70848930.15907794,11
2020-11-13,Broad Bull,93983520.15907794,70848930.15907794,11
2020-11-16,Broad Bull,94276292.15907794,70848930.15907794,11
2020-11-17,Broad Bull,94378791.90680522,73304896.90680522,10
2020-11-18,Broad Bull,94569853.90680522,73304896.90680522,10
2020-11-19,Narrow Bull,94334833.97680521,69898764.97680521,11
2020-11-20,Broad Bull,94396714.97680521,69898764.97680521,11
2020-11-23,Narrow Bull,94353915.97680521,69898764.97680521,11
2020-11-24,Narrow Bull,94386947.97680521,69898764.97680521,11
2020-11-25,Narrow Bull,94247616.97680521,69898764.97680521,11
2020-11-26,Narrow Bull,94280070.97680521,69898764.97680521,11
2020-11-27,Narrow Bull,95289764.97680521,69898764.97680521,11
2020-11-30,Narrow Bull,96010812.61349352,68328448.61349352,11
2020-12-01,Narrow Bull,96049603.61349352,68328448.61349352,11
2020-12-02,Narrow Bull,96614736.61349352,68328448.61349352,11
2020-12-03,Narrow Bull,96600964.61349352,68328448.61349352,11
2020-12-04,Narrow Bull,96729760.61349352,68328448.61349352,11
2020-12-07,Narrow Bull,97052515.61349352,68328448.61349352,11
